type,owner,name
github,mbm0089,GII_0_17.02_SNSI
github,FranBurgos,TFG
github,alejandrolampreave,GPS
github,JorgeZamora94,TFG-Gestor-de-sonido-para-dispositivos-Android
github,EduardoRisco,SurveyingPointCode
github,masantamario,Geslab-2.0
github,davidelinformatico,TFG
github,RaquelSancha,GII_O_MA_20.04
github,aav0038,UBU-CHATBOT
github,Joaquin-GM,GII_O_MA_19.07-Comparador-de-metricas-de-evolucion-en-repositorios-Software
github,RobertoArastiBlanco,eLearningQA
github,lfx1001,avrela
github,tfg6300404,chatbob-practicum
github,jzx1003,GII_O_MA_22.07
github,jesgararm,GestorQuirofanos
github,ada1012,eLearningQA
github,emur-uy,backend
github,emur-uy,chatbot
github,jrg1013,chatbot
github,alvaromanjon,NutriMenu
github,tgs1003,TFG_2023_2024
github,Daniel-Fernandez-UBU,riskRealUBU
github,rmt0009alu,FAT
github,marioAlonso2122,Primebot
github,jmc1005,red-ela
github,mariolopezmatamala,cloud-duo-aws-gcp
github,jpg1003,AnalisisEEG
github,hds1001,Estudio-y-configuracion-de-un-sistema-ELK
github,jrp1004,CrowsFoot_JuanRomera_TFG
github,rubenmate,draw-entity-relation
github,fps1001,TFGII_FPisot
github,LuisIgnaciodeLunaGomez,VRLearnTOBOT
github,rmg1008,GCA
github,2024-25-tfgii-online-jun,TFG_MCI_GoFa
