title,tutors,students,assignment_date,presentation_date,grade,repository_url
GII_O_MC_16.N Aplicación para la gestión del sonido en un dispositivo móvil,César Represa,1,02/02/2017,09/02/2018,4,https://github.com/JorgeZamora94/TFG-Jorge-Zamora-2017-18
GII_O_MC_17.02 Sistema de navegación semiautomático en interiores,"Alejandro Merino Gómez, César García Osorio, José Francisco Díez Pastor",1,09/11/2017,05/06/2018,10,https://github.com/mbm0089/GII_0_17.02_SNSI/
GII_O_MA_17.01 Desarrollo de una interfaz para planta piloto,"Alejandro Merino Gómez, Daniel Sarabia Ortiz",1,30/10/2018,19/02/2019,8,https://github.com/FranBurgos/TFG
GII_O_MA_18.01  Simulación de redes con GNS3,"Alejandro Merino Gómez, Daniel Sarabia Ortiz",1,19/09/2018,19/02/2019,6,https://github.com/javi13gg/TFG_GII_O_MA_18.01-Simulacion-de-redes-con-GNS3
GII_O_MA_18.02 Generación rutas utilizando sistemas empotrados,Alejandro Merino Gómez,1,19/09/2018,19/02/2019,9,https://github.com/alejandrolampreave/GPS
GII_O_MA_17.0M Secuenciador heurístico,José Manuel Galán Ordax,1,24/09/2018,19/02/2019,7.5,https://github.com/Victoracha/TFG-Reglas-de-prioridad
GII_O_MC_16.N Aplicación para la gestión del sonido en un dispositivo móvil,Carlos López Nozal ,1,02/02/2017,19/02/2019,6,https://github.com/JorgeZamora94/TFG-Gestor-de-sonido-para-dispositivos-Android
GII_O_MA_18.08 Retrogaming recommender,"José Manuel Galán Ordax, José Ignacio Santos Martín",1,08/11/2018,12/06/2019,9.5,https://github.com/raulolles/TFG_GII_O_MA_18.08
GII_O_MC_18.09 Automatización del proceso de delineación a partir de datos de un levantamiento topográfico,Carlos López Nozal César I. García Osorio,1,10/12/2018,12/06/2019,10,https://github.com/EduardoRisco/SurveyingPointCode
GII_O_MA_19.01Autoevaluación proceso de desarrollo de Trabajo Fin de Grado  en Github,Carlos López Nozal ,1,12/02/2019,12/06/2019,9,https://github.com/rlp0019/Activiti-Api
GII_O_MA_19.09 UBUGestLab v2,Pedro Renedo Fernández,1,05/12/2019,08/07/2020,9,https://github.com/masantamario/Geslab-2.0
GII_O_MB_19.0C ExoplanetIA,Carlos López Nozal,1,07/10/2019,08/07/2020,9.5,https://gitlab.com/HP-SCDS/Observatorio/2019-2020/ubu-exoplanetia
GII_O_MC_19.XX-Fatiga+PR,"José Manuel Galán Ordax, Virginia Ahedo García",1,01/10/2019,08/07/2020,5,https://github.com/ysi0000/-FatigaMasPR
GII_O_MC_20.02 Sistema domótico inteligente,"Alejandro Merino Gómez Álvar, Arnaiz González",1,06/10/2020,25/01/2021,8.25,https://github.com/davidelinformatico/TFG
GII_O_MA_19.0B Aplicación de técnicas metaheurísticas para la optimización del reparto de material de una planta de montaje,"José Ignacio Santos Martín, José Manuel Galán Ordax",1,06/11/2020,25/01/2021,5,https://github.com/CarolinaCCZ/LucErik/
GII_O_MC 20.01 Vulnerabilidades en redes de dependencias de paquetes de software,"Carlos López Nozal, José Ignacio Santos Martín",1,05/06/2020,25/01/2021,10,https://github.com/dsr0018/olivia
GII_O_MA_20.04 Servicios de adquisición de datos y visualización de dashboards para la web de coyuntura económica,"Carlos López Nozal, Bruno Baruque Zanón, Santiago Porras Alfonso",1,19/10/2020,25/02/2021,6.5,https://github.com/RaquelSancha/GII_O_MA_20.04
GII_O_MA_19.04 Desarrollo y explotación de un chatbot para la asignatura de Trabajo Fin de Grado,Raúl Marticorena Sánchez,1,19/10/2020,13/07/2021,9,https://github.com/aav0038/UBU-CHATBOT
GII_O_MB_21.011CarSharing: Servicio Web y APP móvil para compartir vehículo para ir al trabajo,"Bruno Baruque Zanón, Francisco Alonso, (tutor empresa HP SCDS) Patricia Pérez (tutor empresa HP SCDS)",1,19/10/2020,13/07/2021,6.7,https://gitlab.com/HP-SCDS/Observatorio/2020-2021/ubu-carsharing
GII_O_MA_19.07 Comparador de métricas de evolución en repositorios Software,Carlos López Nozal,1,07/10/2021,16/06/2022,9.5,https://github.com/Joaquin-GM/GII_O_MA_19.07-Comparador-de-metricas-de-evolucion-en-repositorios-Software
GII_O_MA_21.01 MoodleQA,"Raúl Marticorena Sánchez, Carlos López Nozal",1,01/10/2021,16/06/2022,9,https://github.com/RobertoArastiBlanco/eLearningQA
